epoch,train_loss,lr,val_loss,val_pr_auc,val_roc_auc,val_sensitivity,val_specificity,val_precision,val_f1,val_brier,val_threshold,val_tn,val_fp,val_fn,val_tp
1,0.2530397434129052,0.0001,0.28627465531058693,0.09646422741678469,0.7411088774969845,0.19387387387387386,0.9749486460155177,0.13137973137973138,0.15662299854439593,0.1744344866170288,0.8699357509613037,415294,10671,6711,1614
2,0.231279303115531,9.939057285945933e-05,0.2958996531564107,0.10927639413697801,0.740985741437328,0.19963963963963963,0.9705398330848779,0.11695165716698332,0.14749733759318423,0.1534591789794531,0.8645393252372742,413416,12549,6663,1662
3,0.2198688871244357,9.757729755661012e-05,0.3100352990134736,0.11591385935642086,0.7414324212583693,0.19135135135135134,0.9752937447912388,0.13146818519435505,0.15585559142941005,0.14342293871629475,0.8775817155838013,415441,10524,6732,1593
4,0.2119630220478257,9.460482294732422e-05,0.31027751893615313,0.1089484079398576,0.7429915671073513,0.209009009009009,0.9717465049945418,0.12631578947368421,0.15746606334841629,0.1373656768207969,0.863161027431488,413930,12035,6585,1740
5,0.20476545024937037,9.054634122155992e-05,0.30514449011698613,0.11521709333183089,0.7455388280889437,0.2112912912912913,0.9713309778972451,0.12590365757640828,0.15778614998205956,0.13067282201183986,0.8657925128936768,413753,12212,6566,1759
6,0.19862868827337055,8.550178566873411e-05,0.3277571721078702,0.10255979351729694,0.7376910284152898,0.20804804804804805,0.9661521486507108,0.10724458204334365,0.14153217568947907,0.12728643506923806,0.8628146648406982,411547,14418,6593,1732
7,0.19265950896781478,7.959536998847744e-05,0.337454920332908,0.10896239661579268,0.7375524392961975,0.19507507507507507,0.9706853849494677,0.11508752037417617,0.1447673382064539,0.11587981664626157,0.8670357465744019,413478,12487,6701,1624
8,0.18780262834520237,7.297252973710758e-05,0.3571860200665406,0.10759885123961622,0.7349402935972724,0.15843843843843844,0.9789184557416689,0.128070686474415,0.14164518900343642,0.11399749658698803,0.889720618724823,416985,8980,7006,1319
9,0.18314366425092407,6.579634122155991e-05,0.35364053873250073,0.113779739572232,0.7320761889211879,0.16672672672672673,0.9765098071437794,0.12181850096542039,0.1407779299153101,0.1092108663662534,0.8840392827987671,415959,10006,6937,1388
10,0.17949914931245148,5.824350601949144e-05,0.3646164715874427,0.1116342352831019,0.7349882178493921,0.16036036036036036,0.9780803587149179,0.1250937031484258,0.14054850765910407,0.106702120871215,0.891999363899231,416628,9337,6990,1335
11,0.1754184047912867,5.050000000000001e-05,0.3717548528226207,0.10701118989292198,0.7311867491545164,0.18414414414414415,0.9702839435164861,0.10802621379747727,0.13616983478415348,0.10408884684965439,0.8699357509613037,413307,12658,6792,1533
